TIME_UTC,TIME_OBT,AOCS_ANGULAR_RATE_X,AOCS_ANGULAR_RATE_Y,AOCS_ANGULAR_RATE_Z
2024-10-22T10:33:07.373Z,1/0794313185:01747,+1.927589648793321e-06,+2.012563384099645e-07,+1.890804947635889e-06
2024-10-22T10:33:17.373Z,1/0794313195:01746,+1.927309242882744e-06,-1.414966399803414e-06,+2.763815104894417e-07
2024-10-22T10:33:27.373Z,1/0794313205:01744,-1.305355344126270e-06,+2.032874283474112e-07,+1.895457725862880e-06
2024-10-22T10:33:37.373Z,1/0794313215:01746,-1.304206896422556e-06,+2.029433540555751e-07,+1.894437715407814e-06
2024-10-22T10:33:47.373Z,1/0794313225:01746,+1.927917647881234e-06,-1.414850897653522e-06,+2.767431267218763e-07
2024-10-22T10:33:57.373Z,1/0794313235:01746,+1.927098492066353e-06,+2.020246143677494e-07,+1.890903091232378e-06
2024-10-22T10:34:07.373Z,1/0794313245:01747,+3.098691513217216e-07,+1.951161058200353e-06,+2.027677386357921e-06
2024-10-22T10:34:17.373Z,1/0794313255:01745,+3.107804003230387e-07,+1.951146983413697e-06,+2.027239846768124e-06
2024-10-22T10:34:27.373Z,1/0794313265:01743,-1.440329203538378e-06,+1.949817515771028e-06,+2.819822974605210e-07
2024-10-22T10:34:37.373Z,1/0794313275:01744,+3.111730854667081e-07,+2.008448236120607e-07,+2.790526088644497e-07
2024-10-22T10:34:47.373Z,1/0794313285:01746,+3.114612281264207e-07,-1.551083804657629e-06,-1.470625553746711e-06
2024-10-22T10:34:57.373Z,1/0794313295:01745,+3.115598302282053e-07,+2.000406961523972e-07,+2.780288678528281e-07
2024-10-22T10:35:07.373Z,1/0794313305:01740,+3.121865925678020e-07,+1.955485683889246e-06,+5.522886836373589e-06
2024-10-22T10:35:17.373Z,1/0794313315:01742,+2.062032240587630e-06,+1.952038124557507e-06,+3.772437218715600e-06
2024-10-22T10:35:27.373Z,1/0794313325:01746,-1.304305832481700e-06,+1.985938864658975e-07,-1.334115332301031e-06
2024-10-22T10:35:37.373Z,1/0794313335:01743,-2.921887336664940e-06,+1.814480754575800e-06,-1.332521044351582e-06
2024-10-22T10:35:47.373Z,1/0794313345:01745,-2.920436855411886e-06,+1.976977139266402e-07,-2.946178220250802e-06
2024-10-22T10:35:57.373Z,1/0794313355:01749,+1.929402774936727e-06,+2.052397166409001e-07,+5.115105388524412e-06
2024-10-22T10:36:07.373Z,1/0794313365:01745,-2.920238752450580e-06,+1.974078397866246e-07,-2.946734091032706e-06
2024-10-22T10:36:17.373Z,1/0794313375:01747,+1.927473277773976e-06,+1.969797549490681e-07,-1.339363876837551e-06
2024-10-22T10:36:27.373Z,1/0794313385:01742,+3.126151337423979e-07,-1.416557671480164e-06,-1.338065423248738e-06
2024-10-22T10:36:37.373Z,1/0794313395:01746,+3.123626252551522e-07,-1.416593254015864e-06,-1.338270392614351e-06
2024-10-22T10:36:47.373Z,1/0794313405:01745,-1.437392242959753e-06,+2.023938328944751e-07,+2.026024934240353e-06
2024-10-22T10:36:57.373Z,1/0794313415:01746,+3.122203738894887e-07,+1.997206006155864e-07,+2.759007768255179e-07
